,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
144,COMMON BLACKTIP WHALER,1/11/2016,Gladstone,Tannum Sands,-23°57.03,151°23.04,1,25,November,Tuesday
145,COMMON BLACKTIP WHALER,3/11/2016,Gladstone,Tannum Sands,-23°56.49,151°22.49,1,25,November,Thursday
146,COMMON BLACKTIP WHALER,16/11/2016,Cairns,Clifton Beach,-16°45.54,145°40.91,1.1,27,November,Wednesday
147,COMMON BLACKTIP WHALER,19/11/2016,Gladstone,Tannum Sands,-23°56.71,151°22.72,0.95,25,November,Saturday
148,COMMON BLACKTIP WHALER,22/11/2016,Townsville,Alma Bay,-19°9.02,146°52.43,1.45,28,November,Tuesday
149,COMMON BLACKTIP WHALER,26/11/2016,Gladstone,Tannum Sands,-23°57.03,151°23.04,1.08,27,November,Saturday
150,COMMON BLACKTIP WHALER,16/12/2016,Gladstone,Tannum Sands,-23°56.77,151°22.75,0.95,27,December,Friday
151,COMMON BLACKTIP WHALER,17/12/2016,Cairns,Palm Cove,-16°44.93,145°40.58,0.9,28,December,Saturday
152,CREEK WHALER,13/9/2016,Cairns,Clifton Beach,-16°45.62,145°40.97,0.75,24,September,Tuesday
153,DUSKY WHALER,11/2/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.8,25,February,Thursday
154,DUSKY WHALER,11/2/2016,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.6,25,February,Thursday
155,DUSKY WHALER,5/7/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.89,3.3,20,July,Tuesday
156,DUSKY WHALER,2/12/2016,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.69,2.62,25,December,Friday
157,GRACEFUL WHALER,25/5/2016,Townsville,Horseshoe Bay,-19°6.8,146°50.79,1.17,25,May,Wednesday
158,GREAT HAMMERHEAD,4/2/2016,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,2.35,26,February,Thursday
